i_cd_ref;i_array_agg;i_count;f_cd_ref;f_array_agg;f_count;att_list;att_nb;media_nb;grappe_change;action;cas
1650;{1650};1;928337;{1650};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
1661;{1661};1;928347;{1661};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
1668;{1668};1;928325;{1668};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
1672;{1672};1;928322;{1672};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
1747;{1747};1;928311;{1747};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
1751;{1751};1;928312;{1751};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5179;{5179};1;930612;{5179};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5180;{5180};1;930620;{5180};1;;;5;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5181;{5181};1;933194;{5181};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5182;{5182};1;930623;{5182};1;;;3;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5188;{5188};1;930633;{5188};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5618;{5618};1;886179;{5618};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5625;{5625};1;886176;{5625};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
6028;{6028};1;931260;{6028};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
6054;{6054};1;436230;{6054};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
6072;{6072};1;931174;{6072};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
6120;{6120};1;931317;{6120};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
8268;{8268};1;8268;{8268,834098};2;;;4;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
8482;{8482};1;8482;{8482,251432};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
12227;{12227};1;527207;{12227};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
55742;{55742};1;926870;{55742};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
56385;{56385};1;913237;{56385};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
56506;{56506};1;912179;{56506};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
58316;{58316};1;913229;{58316};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
58575;{58575};1;913224;{58575};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
73572;{73572};1;73532;{73572};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
73578;{73578};1;931968;{73578};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
74349;{74349};1;932012;{74349};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
81421;{81421};1;923594;{81421};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
84487;{84487};1;923640;{84487};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
86564;{86564};1;90192;{86564};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
86758;{86758};1;717136;{86758};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
95462;{95462};1;95462;{95462,718340};2;;;5;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
95829;{95829};1;454932;{95829};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
101498;{101498};1;926948;{101498};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
103562;{103562};1;619752;{103562};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
104306;{771713};1;771713;{771713};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
105341;{105341};1;928504;{105341};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
107191;{107191};1;932515;{107191};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
110751;{110751};1;446800;{110751};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
113525;{113525};1;789136;{113525};1;;;12;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
116744;{521658};1;521658;{521658};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
116801;{116801};1;933616;{116801};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
119395;{119395};1;931010;{119395};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
123182;{123182};1;721757;{123182};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
127439;{127439};1;127439;{127439,141893};2;;;9;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
130663;{130663};1;162352;{130663};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
141893;{141893};1;127439;{127439,141893};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
149993;{149993};1;149992;{149993};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
154743;{154743};1;86828;{154743};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
159446;{159446};1;54711;{159446};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
161860;{161860};1;105781;{161860};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
162917;{162917};1;64111;{162917};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
163220;{163220};1;199893;{163220,199893};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
197675;{197675};1;715571;{197675};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
199893;{199893};1;199893;{163220,199893};2;;;2;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
200478;{200478};1;200478;{200478,794563};2;;;1;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
210665;{210665};1;210678;{210665};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
210264;{210264};1;210264;{210264,210265};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
210265;{210265};1;210264;{210264,210265};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
211020;{211020};1;211146;{211020,211146};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
211146;{211146};1;211146;{211020,211146};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
217544;{217544};1;644993;{217544,644993};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
222047;{222047};1;792696;{222047};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
223162;{223162};1;925520;{223162};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
230228;{230228};1;782472;{230228};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
232109;{232109};1;928502;{232109};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
234172;{234172};1;928321;{234172};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
234874;{234874};1;911622;{234874};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
244625;{244625};1;911625;{244625};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
245490;{245490};1;925866;{245490};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
245638;{245638};1;926773;{245638};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
245487;{245487};1;245488;{245487,245488};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
245488;{245488};1;245488;{245487,245488};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
246250;{246250};1;918519;{246250};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
246338;{246338};1;826544;{246338};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
246767;{246767};1;246766;{246767};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
247000;{247000};1;929418;{247000};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
247001;{247001};1;929417;{247001};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
247002;{247002};1;929408;{247002};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
247003;{247003};1;929405;{247003};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
247005;{247005};1;929420;{247005};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
247007;{247007};1;929400;{247007};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
247012;{247012};1;929419;{247012};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
247013;{247013};1;929404;{247013};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
247133;{247133};1;848514;{247133};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
247175;{247175};1;918881;{247175};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
247178;{247178};1;918887;{247178};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
247181;{247181};1;918880;{247181};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
247276;{247276};1;896798;{247276};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
247500;{247500};1;926506;{247500};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
247853;{247853};1;247853;{247853,701448};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
247960;{247960};1;928200;{247960};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
247980;{247980};1;521535;{247980};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
248029;{248029};1;920988;{248029};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
248117;{248117};1;918133;{248117};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
248189;{248189};1;343934;{248189,343934};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
248230;{248230};1;929594;{248230};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
248258;{248258};1;930261;{248258};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
248475;{248475};1;924461;{248475};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
248864;{248864};1;931618;{248864};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
248891;{248891};1;248891;{248891,781806,781808};3;;;;cas3: f_cd_ref;Merge attributes if exists;merge
248940;{248940};1;918956;{248940};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
248941;{248941};1;627791;{248941};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
248942;{248942};1;918960;{248942};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
248943;{248943};1;919232;{248943};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
248944;{248944};1;931049;{248944};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
248947;{248947};1;931370;{248947};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
248949;{248949};1;931373;{248949};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
248950;{248950};1;931374;{248950};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
248951;{248951};1;931376;{248951};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
248952;{248952};1;931377;{248952};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
248953;{248953};1;931375;{248953};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
249471;{249471};1;716725;{249471};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
249473;{249473};1;721730;{249473};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
249586;{249586};1;810102;{249586};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
249587;{249587};1;810103;{249587};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
249588;{249588};1;770393;{249588};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
249690;{249690};1;716460;{249690};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
249691;{249691};1;716461;{249691};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
249692;{249692};1;716457;{249692};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
249695;{249695};1;716464;{249695};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
249696;{249696};1;716458;{249696};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
249810;{249810};1;931202;{249810};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
249812;{249812};1;931204;{249812};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
251432;{251432};1;8482;{8482,251432};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
340821;{340821};1;918585;{340821};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
343934;{343934};1;343934;{248189,343934};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
361675;{361675};1;914826;{361675};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
392382;{392382};1;608362;{392382};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
391994;{391994};1;264354;{391994,782039};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
434665;{434665};1;6038;{434665};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
434666;{434666};1;931023;{434666};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
434667;{434667};1;931272;{434667};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
435854;{435854};1;3931;{435854};1;;;2;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
445376;{445376};1;125935;{445376};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
457296;{457296};1;1363;{457296};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
457393;{457393};1;928332;{457393};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
459689;{459689};1;933550;{459689};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
612542;{612542};1;923297;{612542};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
642810;{642810};1;911606;{642810};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
648705;{648705};1;73576;{648705};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
648706;{648706};1;676656;{648706};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
644993;{644993};1;644993;{217544,644993};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
659639;{659639};1;913226;{659639};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
660592;{660592};1;913222;{660592};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
660800;{660800};1;913239;{660800};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
699663;{699663};1;918957;{699663};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
701448;{701448};1;247853;{247853,701448};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
704964;{704964};1;909833;{704964};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
707054;{707054};1;239138;{707054};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
715557;{715557};1;930229;{715557};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
717200;{717200};1;923344;{717200};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
718340;{718340};1;95462;{95462,718340};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
718744;{718744};1;138547;{718744};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
718750;{718750};1;789304;{718750};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
778485;{778485};1;416552;{778485};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
779346;{779346};1;929596;{779346};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
781893;{781893};1;931413;{781893};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
781894;{781894};1;919053;{781894};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
782843;{782843};1;929595;{782843};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
784169;{784169};1;249298;{784169};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
781806;{781806};1;248891;{248891,781806,781808};3;;;;cas3: f_cd_ref;Merge attributes if exists;merge
781808;{781808};1;248891;{248891,781806,781808};3;;;;cas3: f_cd_ref;Merge attributes if exists;merge
782039;{782039};1;264354;{391994,782039};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
784171;{784171};1;249299;{784171};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
784257;{784257};1;253293;{784257};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
788758;{788758};1;194174;{788758};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
792493;{792493};1;930948;{792493};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
794563;{794563};1;200478;{200478,794563};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
794741;{794741};1;239137;{794741};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
794792;{794792};1;224103;{794792};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
794898;{794898};1;15805;{794898};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
834098;{834098};1;8268;{8268,834098};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
847765;{847765};1;934101;{847765};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
851071;{851071};1;931974;{851071};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
903056;{903056};1;2029;{903056};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
